"_hve_id","_source_id","_ingest_ts","icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","spi","position_source"
"278ce495-cfe0-4715-a898-e34e9e440181_0","flights","2026-05-09T16:18:36.387376+00:00","acdfcc","KAP68","United States","1778343503","1778343503","-73.7075","40.7289","640.08","false","84.1","209.7","-4.23","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_1","flights","2026-05-09T16:18:36.387376+00:00","a005c8","TCN100","United States","1778343502","1778343502","-73.811","40.9594","1828.8","false","125.52","174.83","0.33","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_2","flights","2026-05-09T16:18:36.387376+00:00","a34119","DAL855","United States","1778343502","1778343502","-73.4537","40.8502","8328.66","false","255.7","50.22","-8.13","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_3","flights","2026-05-09T16:18:36.387376+00:00","a52aed","DAL273","United States","1778343502","1778343502","-73.4866","40.8442","1028.7","false","112.29","303.98","-5.53","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_4","flights","2026-05-09T16:18:36.387376+00:00","a03bcd","RPA4540","United States","1778343434","1778343434","-73.871","40.7748","","true","0.9","33.75","","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_5","flights","2026-05-09T16:18:36.387376+00:00","a20120","N2280Q","United States","1778343502","1778343502","-73.4171","40.7678","274.32","false","41.39","145.12","-3.9","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_6","flights","2026-05-09T16:18:36.387376+00:00","780a3b","CPA830","China","1778343205","1778343208","-73.7496","40.652","76.2","false","73.85","211.03","-4.23","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_7","flights","2026-05-09T16:18:36.387376+00:00","ac159a","RPA5599","United States","1778343497","1778343497","-73.8738","40.7799","","true","7.2","33.75","","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_8","flights","2026-05-09T16:18:36.387376+00:00","a213d6","MXY917","United States","1778343502","1778343502","-73.1232","40.7364","1226.82","false","135.14","114.52","1.95","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_9","flights","2026-05-09T16:18:36.387376+00:00","ac36cc","SWA1254","United States","1778343502","1778343502","-73.0723","40.2608","9685.02","false","261.09","41.01","-10.4","false","0"
"278ce495-cfe0-4715-a898-e34e9e440181_10","flights","2026-05-09T16:18:36.387376+00:00","a2bbc6","UAL1624","United States","1778343502","1778343502","-73.7093","40.0074","5631.18","false","208.64","104.86","9.43","false","0"
